你好@台湾 http://n1-q.mafengwo.net/s8/M00/90/36/wKgBpVUioj6AdOVFAAODuGpzFxE40.jpeg?imageMogr2%2Fthumbnail%2F%21300x180r%2Fgravity%2FCenter%2Fcrop%2F%21300x180%2Fquality%2F90 " 想去台湾，是因为听说那里的东西又便宜又好吃；是因为范范、奶茶、陈老师、张震岳、李宗盛。。大多喜欢的歌手都出生于台湾，..." 中国-台湾 浏览(692) 评论(1) 作者:Yvonne 2015年04月06日 http://www.mafengwo.cn/i/3330736.html 台湾 wu wu wu wu wu
"Satellite @ 台湾" http://p3-q.mafengwo.net/s3/M00/BE/67/wKgBt0-Q9_m4DQfiAAE4yCdgSag22.jpeg?imageMogr2%2Fthumbnail%2F%21300x180r%2Fgravity%2FCenter%2Fcrop%2F%21300x180%2Fquality%2F90 " 将我另一个窝中的脚印整理一下，单独记录在蚂蜂窝中。就从去年的台湾行开始吧（图片实在是懒得重新整理，就直接copy过来吧）..." 中国-台湾 浏览(4520) 评论(5) 作者:Satellite 2012年04月28日 http://www.mafengwo.cn/i/872746.html 台湾 wu wu wu wu wu
台湾游 http://p3-q.mafengwo.net/s10/M00/78/E0/wKgBZ1n4nheAR5ZXAAsOxwTVV8w58.jpeg?imageMogr2%2Fthumbnail%2F%21300x180r%2Fgravity%2FCenter%2Fcrop%2F%21300x180%2Fquality%2F90 "一直向往到美丽宝岛 台湾 转一圈，终于成行，了却多年的愿望！10月份利用休假之际，到 台湾 自由行。行前做了充分的准备，查..." 中国-台湾 浏览(460) 评论(2) 作者:xayyh 2017年11月01日 http://www.mafengwo.cn/i/7871392.html 台湾 出发时间/2017-10-20 "出行天数/10 天" wu 一直向往到美丽宝岛台湾转一圈，终于成行，了却多年的愿望！10月份利用休假之际，到台湾自由行。行前做了充分的准备，查资料，看攻略，办证件，谋行程，终于与10月20日晚抵达台北，开始了台湾8日游，10月29日返回。行前在携程和马蜂窝平台阅读大量台湾旅游攻略和相关介绍，最终决定自由行。通行证在当地出入境管理局办理，入台证通过携程网办理，机票通过携程订，行程规划自己确定，总计10天时间，先在台北呆两天，重点为人文景点，然后租车自驾6天环岛游，重点为自然风光。总体行程计划Day1：出发抵达台北桃园机场Day2：台北市区一日游Day3:台北北部一日游day4_day9:环岛自驾游Day10:台北桃园机场返程10月20日晚抵达台北桃园机场后，提前预定好的接机司机就联系上我们，出关后在大厅自动取款机提取了新台币，直奔我们预定的酒店。酒店提前携程网上选定好，我们订的酒店是和逸饭店（台北忠孝馆），位于捷运善导寺站旁，出行极为方便。本计划从机场到酒店后，办完入住手续后，坐捷运到101大楼参观，无奈由于香港到台北的航班晚点，101大楼晚上21点15分停止入场，只好计划临时调整，从饭店出来直奔距离不远的宁夏夜市，一饱口福。10月21日，计划日程第一天，台北捷运一日游。主要参观台北人文景点故宫博物院，士林官邸，总统府，自由广场，中山纪念馆和101大楼。按照这些景点的分布位置，我们依据捷运线路采取由远而近的方略，早上酒店用餐后，从捷运善导寺站出发，台北车站捷运站换乘到士林捷运站，换乘公车到故宫博物院，从故宫博物出来乘巴士参观士林官邸，中午在士林街用餐。餐后从捷运士林站乘地铁到总统府，从总统府步行到自由广场，参观完自由广场和中正纪念馆后乘公车到中山纪念馆，参观完毕步行至101大楼观台北夜景，用晚餐，随后乘捷运回酒店。一天的行程按计划顺利执行。故宫博物院士林官邸草坪总统府自由广场台北101大楼10月22日，计划行程第二天，台北北部一日游。选择经典路线野柳地质公园＋阴阳海＋黄金瀑布＋九分老街＋猴桐＋十分，为了节省时间，我们选择拼车游。先天在网上预定，很快就有确认消息，司导约定好到酒店接的时间，出行当天司导准时到酒店接，一路服务热情周到，又给我们讲了很多当地风情。行程顺利完成，晚上送我们回酒店的时候，按我们要求送到西门町，在西门町转了一圈，品尝了有名的阿宗面线。10月23日，行程计划第三天，从今天开始自驾环岛游。关于租车，出行前做了大量功课，查阅资料熟悉台湾交规，路况，租车要求条件等，选择租车行。通过一系列的咨询准备，选定租租车平台，通过闪租选定车型和车行。关于自驾环岛游路线，有选顺时针的，有选逆时针的，两种走法，仁者见仁智者见智，说法不一。最终我们选定顺时针路线。先天晚上与车行客服人员约定好取车时间，酒店用完早餐，退房，坐捷运直到车行。车行距离酒店很近，几分钟就到，取车向导热情周到，不到十分钟，交代事项和领车手续完毕，我们开车上路。今天从台北出发到花莲。途中我们参观了清水断崖，太鲁阁国家森林公园。晚上在花莲住，顺便看看市区夜景，逛逛东门夜市。住的酒店是花莲蓝天丽池酒店，位置好，出行方便。10月24日，行程计划第四天，自驾环岛游第二天，从花莲到台东。有两条路线可走，一条为海线，一条为山线。两条线路风景各异，我们选择了山线。从酒店出发，先到七星潭。第二站鲤鱼潭 wu
温情台湾 http://n3-q.mafengwo.net/s9/M00/C4/99/wKgBs1ZqjjeAGe3vAAKWbFh4ST047.jpeg?imageMogr2%2Fthumbnail%2F%21300x180r%2Fgravity%2FCenter%2Fcrop%2F%21300x180%2Fquality%2F90 " 提前2个月准备好去 台湾 的通行证，入台证，行李，在2015年12月初我们出发宝岛 台湾 ，环岛8日游，体验我们心中的 台湾 重庆..." 中国-台湾 浏览(1095) 评论(8) 作者:双鱼儿 2015年12月12日 http://www.mafengwo.cn/i/5350756.html 台湾 wu wu wu wu wu
台湾之行 http://p4-q.mafengwo.net/s12/M00/B5/91/wKgED1wjVWuABVtpAArYIcXJtvA11.jpeg?imageMogr2%2Fthumbnail%2F%21300x180r%2Fgravity%2FCenter%2Fcrop%2F%21300x180%2Fquality%2F90 " 台湾 通行证是3年前办的，但当时预定计划改变，没有成行。这次重新办理了签注。签注是在珠市口东城分局出入境管理局办理的，..." 中国-台湾 浏览(46) 评论(7) 作者:pohnpei 2018年12月23日 http://www.mafengwo.cn/i/11462578.html 台湾 出发时间/2018-12-25 "出行天数/15 天" 人物/一个人 台湾通行证是3年前办的，当时预定计划改变，没有成行。这次重新签注。签注是在珠市口东城分局出入境管理局办理的，由于去晚了，当天没拿到，又跑了一次。入台证：马蜂窝下单，资料提交后，2个工作日出证，非常方便。机票预订：比较了几个常用订票的App后，第一次马蜂窝订票了。北京-台北往返直飞2400，价格算厚道。Wifi租赁：马蜂窝下单，也是第一次对马蜂窝失望，到了台北发现，商家通知由于新年原因没有设备。奇葩的理由，好像这个新年是非预期插进来的。台北住宿预订：靠近台北车站的噗莲商旅第1天北京-台北值机、出关、安检、登机，伴着机舱的美妙歌声，似睡非睡。出发、再出发，是旅行、是人生。看看祖国宝岛，是从小就植入心里的一个结，现在终于开启了。记得某年国庆，天安门广场反复播放《阿里山的姑娘》，“高山青，涧水蓝，阿里山的姑娘美如水呀，阿里山的少年壮如山唉。”随着飞机的落地后，歌声回荡在耳边。第一天留下的印象是美好的。飞机邻座杨先生，住在基隆，49年生人，刚从北京旅游完回台湾，随行还有他老伴和女儿。我和杨先生聊了一路，到达桃园机场后，他说：他女婿要了车来接机，车先送女儿，我可以搭车到他女儿下车的地方，然后再帮我叫个计程车到我住处。出海关、换新台币我花的时间长，他们一家都一直等我，好在出关时，我也算帮了杨先生一个小忙，心里平衡一点。杨先生是个老烟民，免税店买了不少烟，我帮他带出两条。或许杨先生买烟省了钱，或许杨先生认定了我这位大陆朋友，又或许就是杨先生善良朴实的本性，他给我叫计程车，居然把计程车费（300新台币）也给我交了，着实让我没想到。与杨先生相遇，是第一天进入台湾的最大收获。每个人都不自觉地代表着什么，可能是一类人，一个地区，甚至一个国家，杨先生很难再见了，但是他代表的台湾人给我留下了美好的印象。到酒店已经8点多了，房间倒也干净。放下行装，出门遛达。不远处的台北车站周围街道，显得有点老旧。步行10多分钟到达宁夏夜市夜市不大，倒也热闹。第一次看到叫“释迦”的水果宁夏夜市是旅游攻略推荐的地方，我没有品尝食物，但是就设施、环境、规模来说，比较失望。台北城市设施似乎真的不如大陆的一、二线城市。第2天台北酒店临街，房间窗户隔音不好，没有休息好。想起日本东京的临街酒店，窗户一关，仿佛世外，不得不佩服。早饭特意找了家豆浆大王店，我的印象中，台湾餐饮进入大陆最早的大概就数豆浆店。但我所进的小店，真是一般。连配菜都没有，只有豆浆和油条台北车站到故宫博物院需要先坐捷运（地铁）到士林，再转公交。地铁有一点老旧，车厢感觉比北京地铁车厢矮一点，座位也窄一点。从年轻男女乘客玩的手机和衣着看，台北是有点落伍了。转公交故宫博物院很有气派，展品极为丰富。博物院外景内展区，共三层，展品太多，上传几幅概览逛完故宫，就在院内解决午饭 wu
台湾行 http://b4-q.mafengwo.net/s10/M00/7C/EA/wKgBZ1kxFfCABC1bABDsC5m7KgQ68.jpeg?imageMogr2%2Fthumbnail%2F%21300x180r%2Fgravity%2FCenter%2Fcrop%2F%21300x180%2Fquality%2F90 " 台 湾 游 记 （三） 2015年4月17日，我们来台不知不觉已经到了半程，在汽车旅馆休息一夜的人们，早早地起来，各自把行李拿到..." 台湾-日月潭 浏览(454) 评论(45) 作者:天热打伞 2017年06月02日 http://www.mafengwo.cn/i/7071449.html 台湾 wu wu wu 台湾游记（三）2015年4月17日，我们来台不知不觉已经到了半程，在汽车旅馆休息一夜的人们，早早地起来，各自把行李拿到旅馆前门餐厅的外面，贴有“仔仔旅行团”字条的位置处放好。然后进餐厅用餐，餐厅面积不大，但很明亮，一张餐桌可以坐四人，这个旅馆一次只能接待一个旅行团，用餐的人又不是同时到达，所以不大的餐厅也显空旷。今天的自助早餐，主人把煮鸡蛋，做成了葱花炒鸡蛋，改了做法大家感到很可口，大米稀饭，豆浆，牛奶每个餐厅都有，馒头，面包片，台湾当地的特产肉松也是家家必备，他好像在蓟县农家院每天有酱豆腐吃一样，是不可少的一道菜。这里的咸菜较前几家餐厅的味道重一些，符合北方人口味。吃过饭的人们走出餐厅，抓紧时间拿相机拍照，因为昨天来到旅馆时天色已晚，看不清旅馆的全貌。现在才知道这家旅馆的名字叫“都市丛林”早上七点多，宽敞的街道上几乎看不到行人，这也印证了“仔仔”所说的，南台湾人比较懒散。他们早上要11点才开张纳客，晚上早早地就打烊了。所以这时间街上静悄悄的。街边种植的面包树下，站着一位上了年纪的老人，哥哥和他攀谈起来。他原籍山东临淄，是原国民党老兵，今年87岁，看上去精神矍铄的样子，不像这般年纪。他没回过大陆这叫他感到遗憾，但看上去他心态非常平和，话语之间没有表现出一点不如意。人嘛，到了这般年纪，什么事情都看淡了。我想，这位老兵是位心宽的人，他一生中会遇到许多不如意的事情，如果事事都纠结，他恐怕也就活不到这般年纪了。大家抓紧拍旅馆院内种植的热带植物，拍街景，拍那间不大的餐厅，拍的景物没什么特别，它只是给来过这里的人们，留下记忆，日后每看到这些照片时，会勾起当年到此一游的回忆。司机师傅为我们装好了行李，大家走上伴着自己四天的这个流动的家，又要开始新的一天的行程。车行进在弯弯曲曲的山路上，车子来回的摆动，会叫晕车的人感到难受，有的人提前吃了晕车药，有的索性躺在座位上，把衣服往头上一蒙闭目养神。我们的司机师傅，车开得很稳，车速也不快，我时常看到后面的车，从我们车的侧面超过。师傅把车开得稳，主要还是为了照顾车上的老人。台湾的司机师傅素质还是蛮高的。台湾的山路弯道特别多，一弯连着一弯，很多弯都大于九十度，双层巴士的高大车身，快速穿行在这狭窄蜿蜒的山路上，没有点技术还真拿捏不了。公路上旅游大巴一辆接着一辆，对面来的车，会车时他们总是那么从容，说明这些师傅们的驾驶技术个个都很高超。车行进在大山中，约一小时左右，到达了闻名中外的“日月潭”。“日月潭”位于阿里山以北、能高山之南的南投县鱼池乡水社村，旧称水沙连、龙湖、水社大湖、珠潭、双潭，亦名水里社。日月潭湖面海拔748米，常态面积为7.93平方千米（满水位时10平方千米），最大水深27米，湖周长约37千米，是台湾外来物种生物最多的淡水湖泊之一。它以光华岛为界，北半湖形状如圆日，南半湖形状如弯月。故称“日月潭”“日月潭”在清朝时即被选为台湾八大景之一，有“海外别一洞天”之称。进了鱼池乡水社村，狭窄的街道两旁布满了各色的店铺，这是景点地区的一大特色。大巴车在停车场找到车位，把车停稳后大家依次下车。在车上“仔仔”向我们介绍了日月潭的特产---“日月潭”牌烤烟，他说这是台湾唯一出烤烟的地方。有给吸烟的亲朋好友带礼物的，可以考虑买几条带回去，他说这个牌子的烟，离开这里就没得卖，叫大家不要错过机会。“仔仔”还向我们介绍原住民阿婆茶鸡蛋，它是日月潭游客“到此一吃”必选品。　　今年82岁的阿婆邹金盆，从二十多岁开始在日月潭玄光寺码头旁卖茶叶蛋，一卖就是近一个甲子。她表示，从没有想到有一天，会因为大陆游客而令自己的茶叶蛋一夜爆红，更被誉为“全台湾最好吃的日月潭茶叶蛋”。　　据称，阿婆现在一天可以卖出一万颗茶叶蛋，她利用南投当地的阿萨姆红茶及埔里香菇，放置在山泉里，熬制独特卤味的香菇茶叶蛋。整个熬制流程包括选蛋、洗蛋、煮蛋、敲壳、卤蛋等多道工序，一个生鸡蛋变成“阿婆茶叶蛋”，至少要5-6个小时。生意真正好，是2008年7月台湾开放大陆居民直接赴台旅游以后的事情。“2008年7月之前，一周有三天大概在休息。开放大陆游客赴台旅游后，日月潭的游客多很多，每天生意好得很，每天像过年赶集一样。”　　年过八旬的阿婆，每天9点开门迎客。因为生意好，阿婆的摊位意外成为观光景点，她的摊位因此搬进景区专门设计的木屋内，她也获得唯一的摊贩执照。　　谈起卖茶叶蛋，阿婆称，纯属偶然。她说，从小就在日月潭畔长大，18岁开始在日月潭附近贩卖一些纪念品，后来看到旺季时许多撑船的人忙得没空儿吃饭，灵机一动，就卖起方便食用的茶叶蛋。那时，加上一些台湾游客及外地游客，每天可以卖到七八百颗。　　数字显示，台湾开放大陆居民来台旅游几年来，累计近500万陆客来台观光。其中，平均每月有超过10万大陆游客造访日月潭。那么，阿婆现在一天究竟可以卖多少颗蛋？阿婆笑而不答。　　现在全家基本都在做蛋，考虑到成本没有请帮工，“三个人在家做蛋、三个人在摊位卖蛋”，因为都是手工来卤蛋，生产的数量有限，每天卖完就收摊。我品尝了阿婆的茶叶蛋，味道确实不错。大家下了汽车来到码头，旅客要乘游船到对面的岛上，那里有阿婆茶叶蛋的卖点，还有标有“日月潭”三个字的石碑，供游人拍照留念。一个旅行团上一艘游艇，游艇以极快的速度在湖面飞驰，游艇要绕湖半周，船长拿着麦克风边开船边介绍湖景，也顺便推销一下日月潭香烟。船舷的两边泛起层层浪花，风吹拂在脸上，闷热的感觉骤然逝去。大家忙着找寻合适的景物拍照。三姐坐着轮椅也随同大家一起参观。我们这个家庭团队尊老爱幼家风始终保持着。几位年长者在晚辈的呵护下，尽情地游玩，三姐平时在家由于腿脚有病，很少出门，这次旅游她超常发挥，蹬梯爬坡样样尝试。二姐虽说在这个家庭团队里年纪最大，但腿脚在这几位上岁数人里面是最利索的。人也精神，没人相信她是80多岁的老人。哥哥虽得糖尿病多年，一只眼已全盲，另一只眼也有眼疾，由于他乐观一生，现如今没人能看出他是一个病人，行动利索，在游人中他是一位活跃分子。上了岸，二姐，哥哥没有随年轻人上山，而是陪着三姐在岸上的一处休息点聊天。站在岸上的高处环视整个日月潭，蓝色的湖水宽阔平静，湖面上数不清的白色游艇穿梭飞驰，湖对岸的绿树掩映着湖光，像一副美丽的画，令游人陶醉。每个人都在刻有“日月潭”三个字的石碑处拍了照，每个人都品尝了阿婆的茶叶蛋，每个人都饱尝了“日月潭”的美景。旅游团有的人在购买了日月潭香烟后开始返回停车场。上了旅游巴士，我们朝本次出行的第一个购物点进发。日月潭有三宝，茶叶，鹿茸，灵芝草。日月潭的茶叶生长在海拔1000米的高山上，因当地没有工业污染，所以产的茶品质好。鹿茸因保护野生动物的规定现在没得卖了，野生灵芝及孢子粉是这里的一大特产，还有鹿胎和鹿胎粉卖，鹿胎它是不错的养生补品，其它地方是买不到的。这家商店是原住民邵族人开的，现在邵族人口约280人左右。台湾当局为了照顾当地原住民，特许他们经营类似鹿胎的产品，所以在这里购得这些产品的机会是难得的。这里的经营方式带有当地原住民的独有特色。游客先集体进入一间设有U字形桌子的讲解室，大家先是背对着桌子坐下，看着对面，一位穿着邵族服装的一名男青年，站在大家的对面，用带有少数民族韵味的普通话，对大家致简短的欢迎词，随后从门外走进一男一女两位身着少数民族服装的青年，他们三人给他家表演邵族舞蹈，欢迎客人远道而来。随后他们邀请所有在座的客人，一起跳他们当地的舞蹈。舞蹈结束促销开始。先是叫大家一一品尝当地出产的各种茶，品尝过后开始介绍各种茶的价格以及促销的办法。我品了当地的茶，有的味道还是蛮好，包装也很精美，价格也可以接受，人们这时便三三两两地议论开来，这里没有讨价还价，只能按他们定好的促销办法买，只是卖得越多优惠的越多，人们就临时组成团购，这样买就实惠些。这个团在此购得的货物金额，大约合人民币万元左右。二姐买的一个3两2的鹿胎就合人民币6千多元。回到车上“仔仔”对大家的购买力，不予置评，因为这只是刚刚开始，离他所要完成的目标还差得很远，可是车上的人们有的和他开玩笑说，“仔仔”我们买了那么多东西，是不是要请我们吃冰棍儿。“仔仔”笑笑说，请吃冰棍儿没问题。他把话锋一转说：“日月潭游览完了，大家可能有些累了，下面我们要开2个多小时的车到嘉义县，大家可以休息一下，不休息的可以看宋美龄的录像片。”大家是有些累了，我看着看着录像就进入了梦乡。嘉义县城很繁华，街道不是很宽，店铺大都是私家开办，规模小且多，在台湾很难找到象内地那样的大型综合购物商场和超市。它给人一种全民经商的感觉，这一点大陆不如台湾，所以说大陆的第三产业还要大发展。在嘉义我们到宾馆已是夜色降临。但时间不是很晚，“仔仔”说有愿意逛街的，入住后可以自己出来看看。这是年轻人的事，我们上岁数的，进屋洗洗早早休息了，养足精神还要准备明天的旅程。（待续） wu
台湾游 http://p2-q.mafengwo.net/s9/M00/22/47/wKgBs1fVL86AIzsxAAeZ5BAtUKg37.jpeg?imageMogr2%2Fthumbnail%2F%21300x180r%2Fgravity%2FCenter%2Fcrop%2F%21300x180%2Fquality%2F90 "我们是约了拼车出去玩的，除了导游，一共是6位游客，这一天跑了7、8个景点，最好玩的是在 白沙 湾，因为 水上 运动比较多，所..." 中国-台湾 浏览(880) 评论(6) 作者:圆熟 2016年09月11日 http://www.mafengwo.cn/i/5678843.html 台湾 wu wu wu wu wu
HELLO，台湾 http://n1-q.mafengwo.net/s10/M00/34/06/wKgBZ1h7AlqAAiXlAADTAfwaW2g065.png?imageMogr2%2Fthumbnail%2F%21300x180r%2Fgravity%2FCenter%2Fcrop%2F%21300x180%2Fquality%2F90 " 台湾 一直是我很想去的地方。美丽的海岸线，吃货的天堂，普通话就可以横行，还有什么地方更适合我呢？眼看2016就要过去，作..." 中国-台湾 浏览(1309) 评论(2) 作者:张 2017年01月03日 http://www.mafengwo.cn/i/6538697.html 台湾 wu wu wu wu wu
台湾~你好！ http://b2-q.mafengwo.net/s6/M00/FE/E4/wKgB4lMdVlaAVH0YAA8X1HsEPt438.jpeg?imageMogr2%2Fthumbnail%2F%21300x180r%2Fgravity%2FCenter%2Fcrop%2F%21300x180%2Fquality%2F90 " 序： 在前几次家庭聚会上，80多岁的外婆突然和我说她很想去 台湾 看看走走，外婆是 广东 人，在年轻貌美时跟随着外公来到了 ..." 中国-台湾 浏览(135619) 评论(871) 作者:小E的一天 2014年03月13日 http://www.mafengwo.cn/i/3008341.html 台湾 "出发时间 2014-02-05" "出行天数 10" "人物 情侣/夫妻" wu "人均费用 9000"
"台湾 台湾 那个记忆***" http://b2-q.mafengwo.net/s2/M00/A0/D1/wKgBpU45HZ6rT67bAAJ3X3UoAbI84.jpeg?imageMogr2%2Fthumbnail%2F%21300x180r%2Fgravity%2FCenter%2Fcrop%2F%21300x180%2Fquality%2F90 " 一段忙碌的工作结束之后，突然很想去台湾。我一个个朋友的找，可惜没有人可以同行，于是我一个人上路了。由于那时候还没开通..." 中国-台湾 浏览(2643) 评论(7) 作者:千可的足迹 2011年08月03日 http://www.mafengwo.cn/i/723313.html 台湾 wu wu wu wu wu
